Symbol,Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (),Beta,R2,Volatility_Per,Monthly Return,Avg_Impact_Cost_percent,report_date
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,23600.89,1.142194544,0.719860751,0.223738066,1.061885677,-0.104103189,0.06,2014-02-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,15912,0.88,0.68,0.17,0.96,-8.49,0.05,2013-02-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17510,0.98,0.36,0.17,1.83,9.11,0.08,2009-01-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,14437,1.15,0.45,0.23,3.02,14.86,0.09,2009-07-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,37761,1.3,0.95,0.21,1.41,2.71,0.04,2014-11-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,15693,0.82,0.76,0.18,1.74,6.64,0.06,2013-04-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,26399,1.18,0.7,0.21,1.5,-3.27,0.06,2014-04-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,24630.28,1.220646627,0.682885005,0.208916468,-0.053819266,-1.224499615,0.07,2013-11-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,19174,1.026702117,0.643948792,0.416733281,-0.052996693,-1.820180796,0.06,2013-09-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,38985.13,1.31,0.87,0.35,1.03,6.95,0.02,2016-05-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,19833.77,0.97,0.67,0.44,1.35,3.44,0.06,2013-10-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17700,1.06,0.53,0.06,2.69,8.46,0.06,2011-05-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,36763,1.31,0.9,0.21,1.61,7.91,0.04,2014-10-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,29209.67,1.03,0.72,0.23,1.4,-0.11,0.03,2015-09-01
HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17425.09,0.38,0.64,0.2,0.97,0.06,0.07,2010-05-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,31489.59,1.1,0.72,0.23,1.24,7.81,0.02,2015-10-01
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17940.48,1.01,0.71,0.18,1.32,-0.02,0.06,2012-10-01
